,logFC,logCPM,LR,PValue,padjFilter,FDR
IFITM3,1.47592232271202,11.3012535506163,1510.26578728054,3.45845952088873e-323,1.2402035841907e-319,1.2402035841907e-319
CST3,1.08491423915229,11.2326762265793,1278.93730767858,6.10089487205357e-275,1.0938904505592e-271,1.0938904505592e-271
RPL23,-0.861955341423608,10.5270162601814,1232.61970391592,3.08463901968099e-265,3.68717184152535e-262,3.68717184152535e-262
IFI6,2.50843529443426,10.7324488778804,1078.19695615605,1.0910020571574e-232,9.78083344241606e-230,9.78083344241606e-230
RPL38,-0.649082119733914,10.9019891394329,691.182037641187,8.27790512277791e-151,5.93691355405631e-148,5.93691355405631e-148
RPS20,-0.693355009285682,10.3508185158236,690.209359914873,1.33476076029661e-150,7.97742014403944e-148,7.97742014403944e-148
SERPING1,0.849550000198869,9.80024367160776,622.07905997001,4.57559927463153e-136,2.34401414268981e-133,2.34401414268981e-133
RPS11,-0.545185234350905,11.1813125136308,602.527121945846,6.92737860741334e-132,3.10519746077303e-129,3.10519746077303e-129
MT-CO2,0.608767461682006,12.7326959647776,592.232971266253,1.09809999775976e-129,4.37531843551833e-127,4.37531843551833e-127
MYH10,-1.03621024312896,10.3592609983807,579.469441383715,5.87982373015562e-127,2.1085047896338e-124,2.1085047896338e-124
RPS26,0.697677731170633,10.1736725601185,567.594862331035,2.0185275849297e-124,6.58039992687083e-122,6.58039992687083e-122
RPL37,-0.535943123443249,11.7807236221201,565.113675366685,6.83164946736549e-124,2.04152458249772e-121,2.04152458249772e-121
B2M,0.776192218682113,11.677800816017,560.138307970703,7.9234064711787e-123,2.18564120043437e-120,2.18564120043437e-120
MT-ATP6,0.497718617221959,13.5680376881072,524.711236940934,3.07688934467242e-115,7.88123227856807e-113,7.88123227856807e-113
RPL7,-0.471832193064751,11.0838760928984,491.764477045269,3.51206278008609e-108,8.39617141959248e-106,8.39617141959248e-106
MT-CO1,0.646800328183197,12.6283548521377,491.621326476308,3.80186549765721e-108,8.52093104662422e-106,8.52093104662422e-106
RPL15,-0.463239238054998,11.8383727172751,485.772545260987,6.77079402259097e-107,1.42823925676537e-104,1.42823925676537e-104
CRIP1,-1.19107117561419,9.61446155737382,481.247565063291,6.66444890467332e-106,1.32770632067547e-103,1.32770632067547e-103
RPL27A,-0.522308825466368,11.0187379928089,480.394841204555,9.64539961759664e-106,1.8204422646685e-103,1.8204422646685e-103
LGALS1,-0.49969896751509,11.3899571735133,474.872187861982,1.48808414714785e-104,2.6681348758361e-102,2.6681348758361e-102
RPL9,-0.409591661697348,11.9078574325359,467.648346138208,5.24095517425242e-103,8.94955488327104e-101,8.94955488327104e-101
FTH1,0.609368995355527,12.1375749543559,464.373435082314,2.64389601625223e-102,4.30955050649113e-100,4.30955050649113e-100
RPS3A,-0.420536077656288,11.9590541297944,457.300456922419,8.72381280324973e-101,1.36015620488928e-98,1.36015620488928e-98
TOMM7,-0.516095472283188,10.6311498284283,451.633463822037,1.43760781843209e-99,2.14802568204061e-97,2.14802568204061e-97
DUSP1,1.100756681646,10.8925308528534,451.261257133441,1.74515104145896e-99,2.50324465386874e-97,2.50324465386874e-97
RPL21,-0.409569120306096,11.9451265348291,449.72894652186,3.68623892249383e-99,5.08417414463957e-97,5.08417414463957e-97
ITGA8,-0.678060936582564,10.1959593618042,441.076839254077,2.67154894969231e-97,3.54821279022097e-95,3.54821279022097e-95
RPL39,-0.432506781148475,11.2458587446006,434.400408822989,7.23415827124153e-96,9.26488984309719e-94,9.26488984309719e-94
RPL27,-0.454014531303067,10.7455819206123,427.415105845083,2.29392771717431e-94,2.83656027371968e-92,2.83656027371968e-92
RPL37A,-0.516269561541666,11.9909349783451,426.741369513094,3.20098648627413e-94,3.826245846593e-92,3.826245846593e-92
RPL34,-0.410576170906981,12.2002716464046,423.592873371479,1.52065722035688e-93,1.75905702974186e-91,1.75905702974186e-91
FTL,0.558937730781165,12.7123187868083,423.474898183541,1.62235200196233e-93,1.81804821219904e-91,1.81804821219904e-91
IGFBP5,1.49003449827705,10.5114222175279,422.103103657602,3.28426713445116e-93,3.56890361943693e-91,3.56890361943693e-91
