,logFC,logCPM,LR,PValue,padjFilter,FDR
IGFBP5,1.45649565952704,13.1028815210953,62.5069740145054,5.51775432648099e-15,1.72153934986207e-12,1.72153934986207e-12
AHNAK,0.851931170710326,12.6758204129975,39.3356148115057,4.67909399604197e-10,7.29938663382548e-08,7.29938663382548e-08
IFITM3,1.12294266305183,12.4530307167912,34.0160506626714,6.79204097167643e-09,7.06372261054348e-07,7.06372261054348e-07
FTH1,0.606318764741839,14.0973458663461,32.6184244004428,1.34056658326856e-08,1.04564193494948e-06,1.04564193494948e-06
FTL,0.592870114448645,14.2323074906926,30.1738052830085,4.64113437257047e-08,2.89606784848397e-06,2.89606784848397e-06
RPS4Y1,-1.28033604610103,12.3247905608813,29.0496287134768,8.33891696305554e-08,4.33623682078888e-06,4.33623682078888e-06
RPLP1,-0.430496641594001,14.2222621055739,26.5738054692064,2.86059708997432e-07,1.27500898867427e-05,1.27500898867427e-05
MGP,0.64749059650679,14.5952687753452,25.7144821185238,4.43455017315935e-07,1.71326207561791e-05,1.71326207561791e-05
RPL21,-0.427293350766341,13.558665505958,25.49996889684,4.94210214120551e-07,1.71326207561791e-05,1.71326207561791e-05
CST3,0.783149099517482,12.3644068100518,23.7456621311567,1.21957587442351e-06,3.80507672820135e-05,3.80507672820135e-05
UQCRB,-0.551484318821811,13.2074913628535,23.0600579434961,1.72065025598145e-06,4.88038981696557e-05,4.88038981696557e-05
RPL39,-0.533612474022041,12.9301425940846,22.2274288593391,2.63716972411249e-06,6.85664128269248e-05,6.85664128269248e-05
RPL34,-0.414377587878928,13.8460563928789,21.1577183019704,4.57097506843e-06,0.00010970340164232,0.00010970340164232
RPL15,-0.387420378022556,13.3138215948801,20.2678695420432,7.23160624506119e-06,0.000161161510604221,0.000161161510604221
RPL37A,-0.406844311560068,13.5647423164878,20.0957518910437,7.90313642988662e-06,0.000164385237741642,0.000164385237741642
RPL38,-0.538406221071426,12.7199550983734,19.6844705223795,9.77398474042885e-06,0.000190592702438363,0.000190592702438363
VIM,0.383368134990172,14.055263576875,18.7557630845091,1.58095648595108e-05,0.000290152013892198,0.000290152013892198
RPL37,-0.425426991934075,13.3472417040667,18.5207333473354,1.78550307549647e-05,0.000309487199752722,0.000309487199752722
RPS27,-0.39194158255627,13.5700102163628,17.7469133848043,2.66745789102813e-05,0.000418699255192203,0.000418699255192203
SRP14,0.775620315545433,12.1777800826676,17.7412822709105,2.68396958456541e-05,0.000418699255192203,0.000418699255192203
FBXO32,0.767924186358842,12.1908447137376,17.1091337883217,3.73160436839595e-05,0.000554409791875969,0.000554409791875969
RPS3A,-0.351255645176668,14.0355212001711,16.946662141181,4.04502890245437e-05,0.000558615799612201,0.000558615799612201
PEBP1,0.722054433229491,12.1421007529494,16.9172601574596,4.11800108688481e-05,0.000558615799612201,0.000558615799612201
LMOD1,0.709741913253903,12.2229600226962,16.7871964006221,4.4074184396631e-05,0.000559234066855679,0.000559234066855679
RPL23,-0.454160336312458,12.8775176647994,16.7520382303896,4.48104220236922e-05,0.000559234066855679,0.000559234066855679
SOD1,0.814266824529684,12.2772023425167,16.5124713320294,5.11620227491426e-05,0.000613944272989711,0.000613944272989711
TMSB4X,-0.372482123963448,15.4789781193978,16.3131046737773,5.6294653191851e-05,0.000650515992439167,0.000650515992439167
RPL35A,-0.425204692061017,13.0078351171286,15.6121157203024,8.12300698187492e-05,0.000905135063694634,0.000905135063694634
RPS24,-0.353605528643771,13.5198011823505,15.1611438335001,0.000102871133458309,0.00110675150479285,0.00110675150479285
ARL6IP4,0.707220547800414,12.0939851964863,14.40837319484,0.00015332651275687,0.00159459573267144,0.00159459573267144
PPP1R14A,0.594956742259884,12.6672125718124,13.5126744159468,0.000245944001898093,0.0024753073739421,0.0024753073739421
TAGLN,0.413684887325935,14.093356686355,13.4375008737542,0.00025507751362093,0.00248700575780406,0.00248700575780406
RPS26,0.652947428601011,12.2476461383625,13.2424743842296,0.000283631878630504,0.00268161048887022,0.00268161048887022
RPL10,-0.32815967677143,13.7427126781009,13.1659192247489,0.000294277190908201,0.00270042598715761,0.00270042598715761
GPX4,0.670939013043971,12.1650607812272,13.0310556747501,0.000316960127774945,0.00282547313902237,0.00282547313902237
HNRNPA1,-0.415604846606261,12.9274600962443,12.9076734969176,0.000337483199713747,0.0029047102306553,0.0029047102306553
TIMP2,0.688164235019717,12.2953274747077,12.8770776947131,0.000344468841455917,0.0029047102306553,0.0029047102306553
S100A6,0.406984628194044,13.2083605428369,12.5175874731069,0.000415132106024148,0.00340845308104038,0.00340845308104038
MT-ATP6,0.363740540127861,13.714011714838,12.4256057676052,0.000436704869430856,0.00349363895544685,0.00349363895544685
ANXA1,0.648695634122756,12.2000178725597,12.2948588488173,0.000468230777367902,0.00365220006346963,0.00365220006346963
RPL41,-0.295961762187969,13.7484107443403,12.1443556940718,0.00050595362722736,0.0038501836998765,0.0038501836998765
TUBA1B,-0.703072836117567,12.59813305865,11.5727414814726,0.000687809825087326,0.00510944441493442,0.00510944441493442
TPT1,-0.304869486412311,14.2089498092864,11.5024431597149,0.000712396948648475,0.00516901972042614,0.00516901972042614
RPL5,-0.326359958834576,13.6464731453534,11.4111030857366,0.000748229399485537,0.00530562665089744,0.00530562665089744
RPS16,-0.365531886060223,12.8406289145816,11.2283627546077,0.000826033980800908,0.00564970593787716,0.00564970593787716
RPS15A,-0.377579508349518,12.8556614060272,11.2101235432771,0.000832969465199838,0.00564970593787716,0.00564970593787716
EID1,0.551095913314042,12.2231781369768,10.9011605346315,0.00098430111771708,0.0065340840154836,0.0065340840154836
DYNC1LI2,0.592621297392125,12.1165063779085,10.8407097765241,0.00101601145393929,0.00660407445060536,0.00660407445060536
RPL12,-0.390975981435576,12.8060788974381,10.5865018767631,0.00116348363824484,0.00740830398229366,0.00740830398229366
MT-ND2,0.364756332961502,13.1581475554251,10.5349122386106,0.00119869635560895,0.00747986525899984,0.00747986525899984
SPARCL1,0.553727287425048,12.569720001246,10.3014796823948,0.00135956086270553,0.00831731351302206,0.00831731351302206
CLU,0.672123640055145,12.2045314203509,10.1768776605698,0.00145415530586951,0.00866798996158787,0.00866798996158787
TPM4,-0.457083155821181,12.6542993315048,10.1520289335851,0.00147244701270563,0.00866798996158787,0.00866798996158787
SKP1,0.493972196507473,12.2599072270869,9.93553140026427,0.00165291453781804,0.0095501728851709,0.0095501728851709
YWHAE,0.560764756441949,12.0131063320721,9.78396806056372,0.00179357506703454,0.0101744621984505,0.0101744621984505
RPL30,-0.289191549375182,13.3004335718703,9.47009546456763,0.00212475988855847,0.0118379479505401,0.0118379479505401
IGFBP2,0.523982900763478,12.470569080963,9.39128509751453,0.00222042731762646,0.0121539179491133,0.0121539179491133
TOMM7,-0.387508200120697,12.5811316807256,9.15003432272192,0.00252824574284585,0.013600218478757,0.013600218478757
RPS29,-0.333066856734515,12.9660038788167,8.63756027525699,0.00334184729691684,0.0173913243872936,0.0173913243872936
NACA,-0.302542992148993,13.3675543144586,8.6359237653603,0.00334448545909493,0.0173913243872936,0.0173913243872936
RPL7,-0.307205572944994,12.9929530804492,8.51519134794535,0.00357242694048191,0.0182720853349238,0.0182720853349238
RASSF3,-0.592128984447374,12.2725949658667,8.40398809724064,0.00380054025011223,0.0191252993231454,0.0191252993231454
ATP5MD,0.519306257892814,12.0463721822451,8.18422273049606,0.00428221132469595,0.0208842050297711,0.0208842050297711
S100A4,-0.401410896483817,12.7078832789089,8.16799296983925,0.0043226001854527,0.0208842050297711,0.0208842050297711
RPS23,-0.242227734297971,14.0200040248303,8.15512367731213,0.00435087604786898,0.0208842050297711,0.0208842050297711
RPS20,-0.344427299315151,12.5631017091438,7.83022918379902,0.00520217154050497,0.0245920836460235,0.0245920836460235
RGS5,-0.422627959070001,13.5027458812466,7.79743597254048,0.00529962748463457,0.0246788623165073,0.0246788623165073
MT-ND1,0.324324569601261,13.202223096428,7.73195215111076,0.00549775200249253,0.0252249797761422,0.0252249797761422
FILIP1L,-0.618365466382603,12.3480588307142,7.62782669189033,0.00582426576917548,0.0263358104345326,0.0263358104345326
NPM1,-0.322639576304858,13.1851116859219,7.26397220891113,0.0071110592836198,0.0316950070927054,0.0316950070927054
FMO2,0.505816885133229,12.3746359644841,7.19763439989953,0.00738472461987989,0.032451184245106,0.032451184245106
RPS27A,-0.236838640289517,14.3270546228923,7.13977848522518,0.00761754436492076,0.0330093589146566,0.0330093589146566
SPARC,0.364793364370104,13.1508407457584,7.04479464708595,0.00803304538561555,0.0343330158946856,0.0343330158946856
RPS12,-0.225808861810017,14.0211128008389,6.91989350933352,0.00860794334039327,0.0359431098989026,0.0359431098989026
