,logFC,logCPM,LR,PValue,padjFilter,FDR
IFITM3,1.31490443403182,10.9415343185563,466.127042728779,2.35038252169595e-102,9.44148658965264e-99,9.44148658965264e-99
CST3,1.00462211630481,11.0306221233287,417.036370680807,7.12144862483522e-92,1.43034295629815e-88,1.43034295629815e-88
RPS26,0.870108318802553,10.0432073372107,355.284343656649,1.1845872396137e-78,1.58616231384275e-75,1.58616231384275e-75
RPL23,-0.684671793007963,10.6216177115714,352.99782084283,3.66035086092592e-78,3.67590735208485e-75,3.67590735208485e-75
IFI6,2.36062907088234,10.5370948258517,340.203125539281,2.0731343547407e-75,1.66555614059868e-72,1.66555614059868e-72
RPL38,-0.602324846325306,10.7457795228384,282.411752923995,5.35066083283269e-63,3.58226742758148e-60,3.58226742758148e-60
MFGE8,0.803562088733859,10.6485529749107,276.834928494329,8.49658991492487e-62,4.8758288126076e-59,4.8758288126076e-59
RPS11,-0.544401336929719,11.0901038775389,270.596207523812,1.87719087236133e-60,9.42584466784434e-58,9.42584466784434e-58
MYH11,-0.901354291482503,11.031518166632,267.381689398445,9.24086927126386e-60,4.12450798474077e-57,4.12450798474077e-57
GAPDH,-0.611284382154655,11.1303616765496,260.579030405598,2.69661453516613e-58,1.08323005877623e-55,1.08323005877623e-55
SERPING1,0.859003957735619,9.62814026549721,247.263341578258,2.00485478504906e-55,7.32136515594734e-53,7.32136515594734e-53
MYH10,-1.01968378653504,10.201736747336,231.807855726988,4.34305074711065e-52,1.45383623759529e-49,1.45383623759529e-49
RPS20,-0.604688518130474,10.2680139167539,225.752089655183,8.79857068361195e-51,2.71875834123609e-48,2.71875834123609e-48
RPL39,-0.449699932068951,11.069227134106,216.118732085303,1.06045579081339e-48,3.04275065121242e-46,3.04275065121242e-46
RPL37,-0.478141662943118,11.6099552171426,200.162682589648,2.9880812431727e-45,8.00208156921648e-43,8.00208156921648e-43
ADH5,0.822622286642248,9.37244761625814,197.515867677461,1.11797227421603e-44,2.80680914095361e-42,2.80680914095361e-42
ITGA8,-0.68581347128286,10.2771497264697,188.00235317084,1.28107065962446e-42,3.02709461159496e-40,3.02709461159496e-40
RPL27A,-0.473798934129343,10.8778378402949,182.77448526791,1.7346036070638e-41,3.87105704976405e-39,3.87105704976405e-39
RPS29,-0.484888404033775,11.1122415399723,174.305505118493,1.18597435651628e-39,2.50739946848731e-37,2.50739946848731e-37
MYADM,-0.894943839445489,9.0977478066946,169.64468456239,1.21598546354891e-38,2.44230680353799e-36,2.44230680353799e-36
MIF,-0.847633500901406,8.85839503748257,169.32457678723,1.42671633391764e-38,2.72910453016532e-36,2.72910453016532e-36
IGFBP7,0.569515974903844,13.1985562541042,164.760226227841,1.39170742050386e-37,2.54113123098363e-35,2.54113123098363e-35
RPS24,-0.395177971235636,11.3862128314782,164.10712289915,1.92841675894813e-37,3.36802179160637e-35,3.36802179160637e-35
MT-CO1,0.502883927813045,12.697539421975,162.490576286129,4.32720242801828e-37,7.2426550638956e-35,7.2426550638956e-35
LGALS1,-0.442091942301599,11.1629530593453,156.847408488233,7.25439087026353e-36,1.12136119794129e-33,1.12136119794129e-33
CRIP1,-1.0480462395657,9.62041304574049,156.853535240489,7.25800128117343e-36,1.12136119794129e-33,1.12136119794129e-33
CALD1,-0.574191268512816,12.2098656977767,156.684570234256,7.86352467121277e-36,1.16991772608377e-33,1.16991772608377e-33
RPL37A,-0.456587288202915,11.8297446203957,153.902657867641,3.1582126797325e-35,4.53090726231624e-33,4.53090726231624e-33
RPL34,-0.373528608931883,12.0362233132441,149.288679897638,3.17128761974826e-34,4.39278012707888e-32,4.39278012707888e-32
RPL15,-0.369213694959395,11.6864556501832,147.544322509384,7.58712573830544e-34,1.0159161363591e-31,1.0159161363591e-31
FTH1,0.501515287344817,12.0581245225229,144.601345468243,3.30650106822392e-33,4.15550903485974e-31,4.15550903485974e-31
TOMM7,-0.446251129984779,10.4425653293018,144.599086914214,3.31033829015463e-33,4.15550903485974e-31,4.15550903485974e-31
RPL9,-0.343640117732496,11.7875055228052,143.434513635234,5.92763593237995e-33,7.21554955768796e-31,7.21554955768796e-31
GPX4,0.5445333212349,9.69104369758211,142.602200195565,8.99534722163514e-33,1.0627738173326e-30,1.0627738173326e-30
RPL7,-0.398406814661521,10.9678236179076,142.317962631463,1.03634794154754e-32,1.18943133748471e-30,1.18943133748471e-30
RPL5,-0.414564357824939,11.3669126077883,141.332546860053,1.69683358442464e-32,1.89338347462049e-30,1.89338347462049e-30
PRELP,0.725973644628988,10.1628908908342,139.688138937785,3.86646973838468e-32,4.19773214570034e-30,4.19773214570034e-30
MT-CO2,0.434398981407219,12.5925472433734,138.323088238382,7.65602751481708e-32,8.09322698079479e-30,8.09322698079479e-30
ADSSL1,-1.2538257406988,8.34948595873746,137.896777464572,9.51708410360948e-32,9.80259662671777e-30,9.80259662671777e-30
RPL35A,-0.332463063917152,11.5308424807665,137.574585869683,1.11289403017562e-31,1.11762382980386e-29,1.11762382980386e-29
CCDC146,1.14453010674625,8.43198033416057,134.467295299414,5.28977107922243e-31,5.18268546956987e-29,5.18268546956987e-29
FTL,0.47628404448409,12.7851465289507,133.430396109264,8.86735552299296e-31,8.48099217520541e-29,8.48099217520541e-29
RPS3A,-0.334651634147227,11.7997073929612,132.581433526845,1.35581454984591e-30,1.2665830341235e-28,1.2665830341235e-28
LINC00844,1.46198557999114,8.10638575645204,132.393892913693,1.49113920190905e-30,1.36134231228833e-28,1.36134231228833e-28
CLU,0.699557187927388,11.40538081006,131.722766968117,2.08484256762496e-30,1.86106946536654e-28,1.86106946536654e-28
FLNA,-0.626773236765333,10.3065562614524,131.524351987297,2.30271096379448e-30,2.01086737860053e-28,2.01086737860053e-28
TPM1,-0.591425103220333,10.8617266185532,130.998082621809,2.99692092503421e-30,2.56141092677923e-28,2.56141092677923e-28
COL14A1,0.621960517548449,10.0412054630443,129.160296552915,7.52690091396833e-30,6.29907520237724e-28,6.29907520237724e-28
NOV,-0.794621170110286,9.84034619159523,127.874321514508,1.43527534960858e-29,1.17663287334238e-27,1.17663287334238e-27
RPL27,-0.385764494166321,10.5728114170963,127.104510894395,2.10746158291074e-29,1.69313463571049e-27,1.69313463571049e-27
IGFBP6,-0.842994654709542,9.35406298515233,124.948789264271,6.21964557213766e-29,4.89888554181902e-27,4.89888554181902e-27
TUBA1B,-0.632657082389661,9.55486053865191,124.634085749881,7.27300090098992e-29,5.56091893277814e-27,5.56091893277814e-27
RPL21,-0.324669286460499,11.8004331175997,124.615344262601,7.33703518638889e-29,5.56091893277814e-27,5.56091893277814e-27
MT-ATP6,0.374240372839135,13.4436881192284,123.000290273659,1.64933843146781e-28,1.22692453318633e-26,1.22692453318633e-26
RPS28,-0.353892817634843,11.1220282550289,119.793381169343,8.23389102265793e-28,6.01373458873035e-26,6.01373458873035e-26
CYBRD1,0.674217986542449,8.99270047988506,119.461006512528,9.73005940548578e-28,6.97958011282793e-26,6.97958011282793e-26
AC020916.1,-1.14727659041297,8.75333393629101,118.503960439097,1.57684732451116e-27,1.11126240395813e-25,1.11126240395813e-25
PTGER3,1.08618603447514,8.44020052165094,117.743457586106,2.30706602791197e-27,1.59784210933144e-25,1.59784210933144e-25
CDO1,0.994907392329763,8.7415446927932,117.568647439846,2.51678145274278e-27,1.71354425350301e-25,1.71354425350301e-25
GPX3,1.02824369384109,8.62049329886962,113.190327665326,2.26330238367559e-26,1.5152809458708e-24,1.5152809458708e-24
SOD3,0.500741119912129,10.6283703685764,110.594488796307,8.316251735144e-26,5.47645626558581e-24,5.47645626558581e-24
DHRS7,0.672049546615752,8.78598796112762,108.541535593984,2.33135124458774e-25,1.51048999185628e-23,1.51048999185628e-23
CAVIN3,-0.574426889055941,9.29084471619644,108.395783874476,2.50852204739995e-25,1.59948143879454e-23,1.59948143879454e-23
RPLP2,-0.329414192153433,11.0421608407286,106.663359831027,5.98643741905663e-25,3.75742486130476e-23,3.75742486130476e-23
LMCD1,0.620522142477716,9.81554067248453,106.572106177343,6.27063434228237e-25,3.8752520235305e-23,3.8752520235305e-23
RPL36,-0.341304653096887,11.0574730375825,106.420797309204,6.76440480287508e-25,4.07163827115294e-23,4.07163827115294e-23
RPS27,-0.345981854883619,12.3341952358488,106.383861109477,6.88871075533269e-25,4.07163827115294e-23,4.07163827115294e-23
ISG15,1.45828016622531,9.31079203719249,106.389535921605,6.89249197008712e-25,4.07163827115294e-23,4.07163827115294e-23
EIF1AX,0.596492619619496,9.01924745037429,105.721242610245,9.61196124657142e-25,5.59583309093875e-23,5.59583309093875e-23
RPL22,-0.322102979195075,11.0055848519984,105.551977596002,1.04618878474235e-24,6.00362906901432e-23,6.00362906901432e-23
PALLD,-0.527236172870629,9.65616745254524,104.779866894013,1.54239285999394e-24,8.72646777266993e-23,8.72646777266993e-23
B2M,0.511567092001762,11.5859274423088,104.333785788941,1.92926378447102e-24,1.07636841975279e-22,1.07636841975279e-22
RPL35,-0.343331722151614,10.7117937504035,103.131231366116,3.53023115822433e-24,1.94259432364207e-22,1.94259432364207e-22
DCXR,0.903656911238174,8.39012721570383,101.193029094791,9.35567703351143e-24,5.07861549238046e-22,5.07861549238046e-22
RPL24,-0.32327408103869,11.3357741681403,100.490973900587,1.33072066648072e-23,7.12733988967075e-22,7.12733988967075e-22
PRDM6,0.819716974052566,8.48160052742081,98.9880459644346,2.83535911007438e-23,1.49863651910116e-21,1.49863651910116e-21
RPL4,-0.45632444652907,9.81703551876034,98.3144839576125,3.97483548869147e-23,2.07362521533424e-21,2.07362521533424e-21
CALR,-0.601436135061458,9.05502417548203,98.1917711168817,4.22915536201264e-23,2.17801501143651e-21,2.17801501143651e-21
MT-CO3,0.360452887877986,12.8209267364508,97.5519698317032,5.8338542586295e-23,2.95962395914614e-21,2.95962395914614e-21
LMNA,-0.566819529911992,10.1308054982125,97.5310979450719,5.89419757858331e-23,2.95962395914614e-21,2.95962395914614e-21
LTBP4,-0.75317555030146,8.75381730017593,96.2551497382099,1.12034847586747e-22,5.55609855254274e-21,5.55609855254274e-21
TLN1,-0.55671805992141,9.25694641950412,95.9420990437434,1.31091210414438e-22,6.42187063700973e-21,6.42187063700973e-21
RPS16,-0.293619922120095,11.3598489981041,94.8788665446266,2.23799458110573e-22,1.08313544967491e-20,1.08313544967491e-20
NOTCH3,-1.05052346031765,8.1836992737861,94.6151390110152,2.55727633297225e-22,1.22292607494637e-20,1.22292607494637e-20
GADD45B,0.798183497280083,11.9299527806617,93.9121488289329,3.64022969206211e-22,1.72032972623688e-20,1.72032972623688e-20
DKK3,0.579402784937942,9.51803383911497,93.5808089236659,4.30063644411786e-22,2.00879727860714e-20,2.00879727860714e-20
LDHA,-0.528322783348229,9.8993911431135,92.4760495943233,7.49699797142807e-22,3.46154492542834e-20,3.46154492542834e-20
FOS,0.487972948473463,13.1051692307969,92.3891606727193,7.83066732876035e-22,3.57452166586708e-20,3.57452166586708e-20
RPS8,-0.295441450201127,11.8204156776283,92.1872612864593,8.66817694167849e-22,3.91236705333961e-20,3.91236705333961e-20
TPI1,-0.573385505119574,8.94162179827951,91.8295448606368,1.03806765220414e-21,4.63324195433781e-20,4.63324195433781e-20
TMSB10,-0.542982240119413,9.69710502133752,90.6103454695181,1.91743384231603e-21,8.44102470018897e-20,8.44102470018897e-20
CD44,-0.672407883986854,8.92848884207556,90.5952578331578,1.93321949817621e-21,8.44102470018897e-20,8.44102470018897e-20
